"No.","Time","TCP Delta","Length","Protocol","Stream index","Destination Port","Time since first frame in this TCP stream","Epoch Arrival Time","Info"
"60","21:41:04","0.002549000","55","Modbus/TCP","2","57057","18.097442000","1726620064.631900000","Response: Trans:     9; Unit:   3, Func:   4: Read Input Registers"
"61","21:41:04","0.000035000","44","TCP","2","502","18.097477000","1726620064.631935000","57057  >  mbap(502) [ACK] Seq=109 Ack=100 Win=2619648 Len=0"
"62","21:41:06","2.002926000","56","Modbus/TCP","2","502","20.100403000","1726620066.634861000","   Query: Trans:    10; Unit:   3, Func:   4: Read Input Registers"
"63","21:41:06","0.000052000","44","TCP","2","57057","20.100455000","1726620066.634913000","mbap(502)  >  57057 [ACK] Seq=100 Ack=121 Win=2619648 Len=0"
"64","21:41:06","0.005200000","55","Modbus/TCP","2","57057","20.105655000","1726620066.640113000","Response: Trans:    10; Unit:   3, Func:   4: Read Input Registers"
"65","21:41:06","0.000065000","44","TCP","2","502","20.105720000","1726620066.640178000","57057  >  mbap(502) [ACK] Seq=121 Ack=111 Win=2619648 Len=0"
"66","21:41:08","2.040268000","56","Modbus/TCP","2","502","22.145988000","1726620068.680446000","   Query: Trans:    11; Unit:   3, Func:   4: Read Input Registers"
"67","21:41:08","0.000047000","44","TCP","2","57057","22.146035000","1726620068.680493000","mbap(502)  >  57057 [ACK] Seq=111 Ack=133 Win=2619648 Len=0"
"68","21:41:08","0.007617000","55","Modbus/TCP","2","57057","22.153652000","1726620068.688110000","Response: Trans:    11; Unit:   3, Func:   4: Read Input Registers"
"69","21:41:08","0.000051000","44","TCP","2","502","22.153703000","1726620068.688161000","57057  >  mbap(502) [ACK] Seq=133 Ack=122 Win=2619648 Len=0"
"70","21:41:10","2.008944000","56","Modbus/TCP","2","502","24.162647000","1726620070.697105000","   Query: Trans:    12; Unit:   3, Func:   4: Read Input Registers"
"71","21:41:10","0.000052000","44","TCP","2","57057","24.162699000","1726620070.697157000","mbap(502)  >  57057 [ACK] Seq=122 Ack=145 Win=2619648 Len=0"
"72","21:41:10","0.004429000","55","Modbus/TCP","2","57057","24.167128000","1726620070.701586000","Response: Trans:    12; Unit:   3, Func:   4: Read Input Registers"
"73","21:41:10","0.000050000","44","TCP","2","502","24.167178000","1726620070.701636000","57057  >  mbap(502) [ACK] Seq=145 Ack=133 Win=2619648 Len=0"
"74","21:41:12","2.000736000","56","Modbus/TCP","2","502","26.167914000","1726620072.702372000","   Query: Trans:    13; Unit:   3, Func:   4: Read Input Registers"
"75","21:41:12","0.000043000","44","TCP","2","57057","26.167957000","1726620072.702415000","mbap(502)  >  57057 [ACK] Seq=133 Ack=157 Win=2619648 Len=0"
"76","21:41:12","0.010442000","55","Modbus/TCP","2","57057","26.178399000","1726620072.712857000","Response: Trans:    13; Unit:   3, Func:   4: Read Input Registers"
"77","21:41:12","0.000073000","44","TCP","2","502","26.178472000","1726620072.712930000","57057  >  mbap(502) [ACK] Seq=157 Ack=144 Win=2619648 Len=0"
"78","21:41:14","1.994146000","56","Modbus/TCP","2","502","28.172618000","1726620074.707076000","   Query: Trans:    14; Unit:   3, Func:   4: Read Input Registers"
"79","21:41:14","0.000034000","44","TCP","2","57057","28.172652000","1726620074.707110000","mbap(502)  >  57057 [ACK] Seq=144 Ack=169 Win=2619392 Len=0"
"80","21:41:14","0.010885000","55","Modbus/TCP","2","57057","28.183537000","1726620074.717995000","Response: Trans:    14; Unit:   3, Func:   4: Read Input Registers"
"81","21:41:14","0.000073000","44","TCP","2","502","28.183610000","1726620074.718068000","57057  >  mbap(502) [ACK] Seq=169 Ack=155 Win=2619392 Len=0"
"82","21:41:16","2.001457000","56","Modbus/TCP","2","502","30.185067000","1726620076.719525000","   Query: Trans:    15; Unit:   3, Func:   4: Read Input Registers"
"83","21:41:16","0.000057000","44","TCP","2","57057","30.185124000","1726620076.719582000","mbap(502)  >  57057 [ACK] Seq=155 Ack=181 Win=2619392 Len=0"
"84","21:41:16","0.006340000","55","Modbus/TCP","2","57057","30.191464000","1726620076.725922000","Response: Trans:    15; Unit:   3, Func:   4: Read Input Registers"
"85","21:41:16","0.000130000","44","TCP","2","502","30.191594000","1726620076.726052000","57057  >  mbap(502) [ACK] Seq=181 Ack=166 Win=2619392 Len=0"
"86","21:41:18","2.005473000","56","Modbus/TCP","2","502","32.197067000","1726620078.731525000","   Query: Trans:    16; Unit:   3, Func:   4: Read Input Registers"
"87","21:41:18","0.000048000","44","TCP","2","57057","32.197115000","1726620078.731573000","mbap(502)  >  57057 [ACK] Seq=166 Ack=193 Win=2619392 Len=0"
"88","21:41:18","0.002788000","55","Modbus/TCP","2","57057","32.199903000","1726620078.734361000","Response: Trans:    16; Unit:   3, Func:   4: Read Input Registers"
"89","21:41:18","0.000034000","44","TCP","2","502","32.199937000","1726620078.734395000","57057  >  mbap(502) [ACK] Seq=193 Ack=177 Win=2619392 Len=0"
"90","21:41:20","1.996437000","56","Modbus/TCP","2","502","34.196374000","1726620080.730832000","   Query: Trans:    17; Unit:   3, Func:   4: Read Input Registers"
"91","21:41:20","0.000074000","44","TCP","2","57057","34.196448000","1726620080.730906000","mbap(502)  >  57057 [ACK] Seq=177 Ack=205 Win=2619392 Len=0"
"92","21:41:20","0.010835000","55","Modbus/TCP","2","57057","34.207283000","1726620080.741741000","Response: Trans:    17; Unit:   3, Func:   4: Read Input Registers"
"93","21:41:20","0.000033000","44","TCP","2","502","34.207316000","1726620080.741774000","57057  >  mbap(502) [ACK] Seq=205 Ack=188 Win=2619392 Len=0"
"94","21:41:22","2.016347000","56","Modbus/TCP","2","502","36.223663000","1726620082.758121000","   Query: Trans:    18; Unit:   3, Func:   4: Read Input Registers"
"95","21:41:22","0.000030000","44","TCP","2","57057","36.223693000","1726620082.758151000","mbap(502)  >  57057 [ACK] Seq=188 Ack=217 Win=2619392 Len=0"
"96","21:41:22","0.010619000","55","Modbus/TCP","2","57057","36.234312000","1726620082.768770000","Response: Trans:    18; Unit:   3, Func:   4: Read Input Registers"
"97","21:41:22","0.000036000","44","TCP","2","502","36.234348000","1726620082.768806000","57057  >  mbap(502) [ACK] Seq=217 Ack=199 Win=2619392 Len=0"
